movie_id,year,platform,rating_count,meta_country,runtime_min,runtime_text,mean_rating,title,rating_distribution_1_to_5,genres,reviews_count,rating_distribution,url,meta
1306664,2000,Douban,169288,,,,9.0,共同警备区 공동경비구역 JSA,,Drama,,"['56.2', '36.7', '6.5', '0.4', '0.1']",https://movie.douban.com/subject/1306664/,
1293530,2000,Douban,258917,,,,8.6,角斗士 Gladiator,,Drama / Action / Adventure,,"['42.8', '44.3', '11.9', '0.7', '0.2']",https://movie.douban.com/subject/1293530/,
1301715,2000,Douban,144547,,,,8.0,美国精神病人 American Psycho,,Drama / Horror / Crime,,"['25.6', '49.7', '22.3', '2.0', '0.5']",https://movie.douban.com/subject/1301715/,
1299661,2000,Douban,282816,,,,8.2,苏州河,,Drama / Romance,,"['32.8', '47.6', '17.5', '1.7', '0.4']",https://movie.douban.com/subject/1299661/,
1293050,2000,Douban,113072,,,,8.5,永不妥协 Erin Brockovich,,Drama / Biography,,"['38.0', '49.1', '12.1', '0.6', '0.1']",https://movie.douban.com/subject/1293050/,
1300300,2000,Douban,385076,,,,7.9,死神来了 Final Destination,,Thriller / Horror,,"['24.3', '49.6', '24.0', '1.8', '0.3']",https://movie.douban.com/subject/1300300/,
1304447,2000,Douban,666075,,,,8.7,记忆碎片 Memento,,Drama / Mystery / Thriller / Crime,,"['47.2', '41.2', '10.4', '0.9', '0.3']",https://movie.douban.com/subject/1304447/,
1292434,2000,Douban,500811,,,,9.1,一一,,Drama / Romance / Family,,"['66.4', '25.7', '6.7', '0.8', '0.4']",https://movie.douban.com/subject/1292434/,
1294183,2000,Douban,141841,,,,8.4,黑洞频率 Frequency,,Sci-Fi / Mystery / Crime,,"['36.8', '49.3', '13.0', '0.7', '0.1']",https://movie.douban.com/subject/1294183/,
1293171,2000,Douban,72305,,,,7.6,入侵脑细胞 The Cell,,Sci-Fi / Thriller / Horror,,"['20.1', '46.6', '29.5', '3.1', '0.7']",https://movie.douban.com/subject/1293171/,
1295250,2000,Douban,301564,,,,7.8,X战警 X-Men,,Action / Sci-Fi,,"['20.4', '51.7', '26.3', '1.3', '0.2']",https://movie.douban.com/subject/1295250/,
1306454,2000,Douban,26179,,,,8.5,烈焰焚币 Plata quemada,,Drama / Romance / Thriller / Homosexual / Crime,,"['46.4', '36.8', '14.6', '1.7', '0.4']",https://movie.douban.com/subject/1306454/,
1304489,2000,Douban,7518,,,,7.6,西洋镜,,Drama / Romance / History,,"['16.6', '51.0', '29.8', '2.3', '0.2']",https://movie.douban.com/subject/1304489/,
1292402,2000,Douban,1085795,,,,8.9,西西里的美丽传说 Malèna,,Drama / Eroticism / War,,"['55.4', '36.4', '7.4', '0.5', '0.2']",https://movie.douban.com/subject/1292402/,
1416898,2000,Douban,18777,,,,8.6,鲸鱼马戏团 Werckmeister harmóniák,,Drama / Mystery,,"['50.7', '34.2', '11.4', '2.5', '1.2']",https://movie.douban.com/subject/1416898/,
2157131,2000,Douban,202005,,,,8.7,少年包青天,,Drama / Mystery / Costume,,"['47.2', '41.5', '10.2', '0.8', '0.3']",https://movie.douban.com/subject/2157131/,
1301168,2000,Douban,545556,,,,8.4,卧虎藏龙 臥虎藏龍,,Drama / Romance / Chinese swordplay,,"['39.2', '45.1', '14.3', '1.2', '0.3']",https://movie.douban.com/subject/1301168/,
1301171,2000,Douban,214357,,,,8.5,偷拐抢骗 Snatch,,Comedy / Crime,,"['40.5', '46.4', '12.0', '0.9', '0.2']",https://movie.douban.com/subject/1301171/,
1293770,2000,Douban,61526,,,,8.1,猎杀U-571 U-571,,Drama / Action / War,,"['27.9', '52.7', '17.8', '1.2', '0.4']",https://movie.douban.com/subject/1293770/,
